state_abbr,state_name,rpp_all_items,rpp_goods,rpp_services_housing,rpp_services_utilities,rpp_services_other,traditional_burial_point,traditional_burial_low,traditional_burial_high,burial_with_vault_point,burial_with_vault_low,burial_with_vault_high,cremation_with_service_point,cremation_with_service_low,cremation_with_service_high,direct_cremation_point,direct_cremation_low,direct_cremation_high,direct_burial_point,direct_burial_low,direct_burial_high,green_burial_point,green_burial_low,green_burial_high
AL,Alabama,90,95.1,61.6,90.4,98.7,7470,6350,8590,9000,7650,10350,5650,4800,6500,2480,2110,2850,3350,2850,3850,4480,3810,5150
AK,Alaska,101.7,100.4,96.6,111.9,103.3,8440,7170,9710,10160,8640,11680,6390,5430,7350,2800,2380,3220,3780,3210,4350,5060,4300,5820
AZ,Arizona,101.1,97.5,108.6,83.2,102.3,8390,7130,9650,10100,8580,11620,6350,5400,7300,2780,2360,3200,3760,3200,4320,5030,4280,5780
AR,Arkansas,86.5,92.1,56.7,81.4,95.3,7180,6100,8260,8650,7350,9950,5430,4620,6240,2380,2020,2740,3220,2740,3700,4310,3660,4960
CA,California,112.6,107.5,157.8,142.1,104.8,9350,7950,10750,11250,9560,12940,7070,6010,8130,3100,2640,3560,4190,3560,4820,5610,4770,6450
CO,Colorado,101.4,98.1,130.5,87.1,96.2,8420,7160,9680,10130,8610,11650,6370,5410,7330,2790,2370,3210,3770,3200,4340,5050,4290,5810
CT,Connecticut,103.7,97.4,116.8,152.5,102.6,8610,7320,9900,10360,8810,11910,6510,5530,7490,2850,2420,3280,3860,3280,4440,5160,4390,5930
DE,Delaware,99.3,98.4,98.9,105.3,99.7,8240,7000,9480,9930,8440,11420,6240,5300,7180,2730,2320,3140,3690,3140,4240,4950,4210,5690
FL,Florida,103.5,98.4,123.1,93.8,101.2,8590,7300,9880,10340,8790,11890,6500,5520,7470,2850,2420,3280,3850,3270,4430,5150,4380,5920
GA,Georgia,96.7,98.3,88.3,93.2,98.7,8030,6830,9230,9670,8220,11120,6070,5160,6980,2660,2260,3060,3600,3060,4140,4820,4100,5540
HI,Hawaii,108.6,106.9,128.9,191.3,101.9,9010,7660,10360,10850,9220,12480,6820,5800,7840,2990,2540,3440,4040,3430,4650,5410,4600,6220
ID,Idaho,91.4,94,86.7,68.1,93,7590,6450,8730,9140,7770,10510,5740,4880,6600,2510,2130,2890,3400,2890,3910,4550,3870,5230
IL,Illinois,98.9,100.9,92.4,80.8,100.5,8210,6980,9440,9890,8410,11370,6210,5280,7140,2720,2310,3130,3680,3130,4230,4930,4190,5670
IN,Indiana,92.2,94.8,71.4,86.4,98.1,7650,6500,8800,9220,7840,10600,5790,4920,6660,2540,2160,2920,3430,2920,3940,4590,3900,5280
IA,Iowa,88.8,95.1,66,87.1,93.1,7370,6260,8480,8880,7550,10210,5580,4740,6420,2440,2070,2810,3300,2800,3790,4420,3760,5080
KS,Kansas,90,94.8,68.6,92.9,94.1,7470,6350,8590,9000,7650,10350,5650,4800,6500,2480,2110,2850,3350,2850,3850,4480,3810,5150
KY,Kentucky,90.5,95.1,62.9,81.2,98.4,7510,6380,8640,9050,7690,10410,5680,4830,6530,2490,2120,2860,3370,2860,3880,4510,3830,5190
LA,Louisiana,88.3,92,65.1,76.5,95.3,7330,6230,8430,8830,7510,10150,5550,4720,6380,2430,2070,2790,3280,2790,3770,4400,3740,5060
ME,Maine,97.1,96.6,80.4,143.6,103,8060,6850,9270,9710,8250,11170,6100,5180,7010,2670,2270,3070,3610,3070,4150,4840,4110,5570
MD,Maryland,104,102.9,119.9,108.9,99.8,8630,7340,9920,10390,8830,11950,6530,5550,7510,2860,2430,3290,3870,3290,4450,5180,4400,5960
MA,Massachusetts,108.2,102.4,130.1,166.3,104.7,8980,7630,10330,10810,9190,12430,6790,5770,7810,2980,2530,3430,4030,3430,4630,5390,4580,6200
MI,Michigan,94.2,95.4,78.9,100.6,98.4,7820,6650,8990,9420,8010,10830,5920,5030,6810,2590,2200,2980,3500,2980,4020,4690,3990,5390
MN,Minnesota,98.4,101.8,90.6,90.6,99.3,8170,6940,9400,9840,8360,11320,6180,5250,7110,2710,2300,3120,3660,3110,4210,4900,4160,5640
MS,Mississippi,87.3,94.9,54.9,84.6,98.2,7250,6160,8340,8730,7420,10040,5480,4660,6300,2400,2040,2760,3250,2760,3740,4350,3700,5000
MO,Missouri,91.8,97.7,70.4,85.5,95.2,7620,6480,8760,9180,7800,10560,5770,4900,6640,2520,2140,2900,3410,2900,3920,4570,3880,5260
MT,Montana,90.2,94.3,76.7,72.9,93.5,7490,6370,8610,9020,7670,10370,5660,4810,6510,2480,2110,2850,3360,2860,3860,4490,3820,5160
NE,Nebraska,90.4,95.3,74.3,79.7,92.7,7500,6380,8620,9040,7680,10400,5680,4830,6530,2490,2120,2860,3360,2860,3860,4500,3820,5180
