state,abbr,traditional_burial_usd,burial_with_vault_usd,cremation_with_service_usd,direct_cremation_usd,direct_burial_usd,bea_2024_rpp_all_items,data_vintage,model
Alabama,AL,8120,9780,6150,2690,3640,88.823,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Alaska,AK,9360,11270,7080,3100,4200,102.359,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Arizona,AZ,9200,11080,6970,3050,4130,100.677,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Arkansas,AR,7950,9570,6020,2630,3560,86.937,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
California,CA,10120,12190,7660,3350,4540,110.72,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Colorado,CO,9420,11350,7130,3120,4230,103.052,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Connecticut,CT,9470,11410,7170,3140,4250,103.61,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Delaware,DE,9120,10990,6910,3020,4090,99.808,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
District of Columbia,DC,10040,12100,7610,3330,4510,109.901,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Florida,FL,9450,11390,7160,3130,4240,103.414,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Georgia,GA,8800,10600,6660,2920,3950,96.293,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Hawaii,HI,10050,12110,7610,3330,4510,109.951,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Idaho,ID,8730,10510,6610,2890,3920,95.494,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Illinois,IL,9140,11010,6920,3030,4100,99.958,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Indiana,IN,8530,10280,6460,2830,3830,93.329,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Iowa,IA,8020,9660,6070,2660,3600,87.762,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Kansas,KS,8230,9920,6230,2730,3690,90.068,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Kentucky,KY,8240,9930,6240,2730,3700,90.159,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Louisiana,LA,8060,9710,6100,2670,3620,88.207,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Maine,ME,8870,10690,6720,2940,3980,97.05,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Maryland,MD,9590,11560,7260,3180,4300,104.959,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Massachusetts,MA,9670,11640,7320,3200,4340,105.757,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Michigan,MI,8790,10590,6660,2920,3940,96.217,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Minnesota,MN,9010,10860,6820,2990,4040,98.621,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Mississippi,MS,7950,9570,6020,2630,3570,86.953,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Missouri,MO,8300,10000,6280,2750,3720,90.817,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Montana,MT,8650,10420,6550,2870,3880,94.645,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Nebraska,NE,8240,9920,6240,2730,3690,90.103,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
Nevada,NV,9140,11010,6920,3030,4100,99.979,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
New Hampshire,NH,9520,11470,7210,3160,4270,104.165,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
New Jersey,NJ,9940,11980,7530,3300,4460,108.805,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
New Mexico,NM,8430,10150,6380,2790,3780,92.212,Aug 2026 dollars (NFDA 2023 medians x BLS CPI),v3
